,video_id
919,408954286
920,418458028
921,416196044
922,418579420
923,429201041
924,404530033
925,372658838
926,391797932
927,429003736
928,416418077
929,403809870
930,411474181
931,407993405
932,428553636
933,421090812
934,419915753
935,391362810
936,423205717
937,416247082
938,286351211
939,418005951
940,409405892
941,433636784
942,430594784
943,392272381
944,427765166
945,433573722
946,409199873
947,424443469
948,420333271
949,396014720
950,416754553
951,425504808
952,433375650
953,408003086
954,417615055
955,401017793
956,413507031
957,427196175
958,411646410
959,427680491
960,427405605
961,406623867
962,419941083
963,430448178
964,414304510
965,406765531
966,394947503
967,410384850
968,378985440
969,427992647
970,426244929
971,428208106
972,413575617
973,270914909
974,393198874
975,418388066
976,420418875
977,420521624
978,401257747
979,410964141
980,425433314
981,421812926
982,423422443
983,411070213
984,394453060
985,425069261
986,408281351
987,424366460
988,430940605
989,382878644
990,419093641
991,422686650
992,425393947
993,421614179
994,401614560
995,419261778
996,422177009
997,405485437
998,413559786
999,411141119
1000,429612453
1001,414808093
1002,154188920
1003,412102340
1004,404451622
1005,431089596
1006,410913767
1007,424802121
1008,430117135
1009,410747307
1010,415516887
1011,424324538
1012,422231568
1013,360631353
1014,422762152
1015,405799127
1016,402246570
1017,427914031
1018,418856042
1019,404225352
1020,426518333
1021,418914533
1022,409288883
1023,428611914
1024,401960325
1025,412324327
1026,417168973
1027,431428300
1028,405529725
1029,422400584
1030,414630847
1031,432362346
1032,419292149
1033,260690551
1034,322338232
1035,413655636
1036,426538379
1037,429334459
1038,425144846
1039,421888932
1040,413008296
1041,406448292
1042,409931169
1043,429778306
1044,410955918
1045,417122205
1046,418056564
1047,418769282
1048,406668852
1049,430580668
1050,425536968
1051,421796011
1052,418535907
1053,421639971
1054,427725384
1055,430258599
1056,299981896
1057,409343372
1058,406642205
1059,422376464
1060,423941285
1061,403644418
1062,399072631
1063,293548617
1064,422056017
1065,355271752
1066,417842485
1067,414182616
1068,415930973
1069,382208547
1070,427267730
1071,399148590
1072,434236767
1073,416666318
1074,424730789
1075,426485749
1076,405317949
1077,428868018
1078,403483002
1079,421620264
1080,286745569
1081,409540592
